,author_code,ebook_link,ebook_title,other_info,other_info.1,other_info.2,other_info.3,other_info.4,other_info.5,author_Name,author_Surname,clean_birth_year,clean_death_year,century,link_txt
3947,a33937,/ebooks/29476,"Lettres de Mmes. de Villars, de Coulanges et de La Fayette, de Ninon de L'Enclos et de Mademoiselle Aïssé
",<br/>,"accompagnées de notices bibliographiques, de notes explicatives par Louis-Simon Auger",,,,,Villars, Marie Gigault de Bellefonds,,1706,,http://www.gutenberg.org/cache/epub/29476/pg29476.txt
3948,a45690,/ebooks/50069,Voyage dans la lune avant 1900,,,,,,,Ville D'Avray, A. de,,,,http://www.gutenberg.org/cache/epub/50069/pg50069.txt
3949,a25302,/ebooks/22383,Montaigne et François Bacon,,,,,,,Villey, Pierre,1879,1933,20,http://www.gutenberg.org/cache/epub/22383/pg22383.txt
3950,a6262,/ebooks/48518,"Chez les passants: fantaisies, pamphlets et souvenirs. Suivi de pages inédites",,,,,,,Villiers de L'Isle-Adam, Auguste,,1889,,http://www.gutenberg.org/cache/epub/48518/pg48518.txt
3951,a6262,/ebooks/26681,L'Ève future,,,,,,,Villiers de L'Isle-Adam, Auguste,,1889,,http://www.gutenberg.org/cache/epub/26681/pg26681.txt
3952,a6262,/ebooks/48781,Histoires insolites,,,,,,,Villiers de L'Isle-Adam, Auguste,,1889,,http://www.gutenberg.org/cache/epub/48781/pg48781.txt
3953,a6262,/ebooks/54387,Histoires souveraines,,,,,,,Villiers de L'Isle-Adam, Auguste,,1889,,http://www.gutenberg.org/cache/epub/54387/pg54387.txt
3954,a6262,/ebooks/37138,Isis,,,,,,,Villiers de L'Isle-Adam, Auguste,,1889,,http://www.gutenberg.org/cache/epub/37138/pg37138.txt
3955,a6262,/ebooks/17623,Le secret de l'échafaud,,,,,,,Villiers de L'Isle-Adam, Auguste,,1889,,http://www.gutenberg.org/cache/epub/17623/pg17623.txt
3956,a6262,/ebooks/17399,Tribulat Bonhomet,,,,,,,Villiers de L'Isle-Adam, Auguste,,1889,,http://www.gutenberg.org/cache/epub/17399/pg17399.txt
3957,a51221,/ebooks/61008,"En Virginie, épisode de la guerre de sécession
",<br/>,"Précédé d'une étude sur l'esclavage et les punitions corporelles en Amérique, et suivi d'une bibliographie raisonnée des principaux ouvrages français et anglais sur la flagellation",,,,,Villiot, Jean de,,,,http://www.gutenberg.org/cache/epub/61008/pg61008.txt
3958,a4273,/ebooks/12246,"Œuvres complètes de François Villon
",<br/>,Suivies d'un choix des poésies de ses disciples,,,,,Villon, François,1431,,15,http://www.gutenberg.org/cache/epub/12246/pg12246.txt
3959,a8181,/ebooks/18669,Histoire de la République de Gênes,,,,,,,Vincens, Emile,1764,1850,18,http://www.gutenberg.org/cache/epub/18669/pg18669.txt
3960,a9463,/ebooks/20700,"Études sur la Littérature française au XIXe siècle - Tome 1
",<br/>,"Madame de Staël, Chateaubriand",,,,,Vinet, Alexandre Rodolphe,1797,1847,19,http://www.gutenberg.org/cache/epub/20700/pg20700.txt
3961,a42650,/ebooks/44242,Note sur l'invasion des Sarrasins dans le Lyonnais,,,,,,,Vingtrinier, Aimé,1812,1903,19,http://www.gutenberg.org/cache/epub/44242/pg44242.txt
3962,a8223,/ebooks/18749,L'art russe,,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/18749/pg18749.txt
3963,a8223,/ebooks/18940,La cité de Carcassonne,,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/18940/pg18940.txt
3964,a8223,/ebooks/25097,"Cités et ruines américaines: Mitla, Palenqué, Izamal, Chichen-Itza, Uxmal",,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/25097/pg25097.txt
3965,a8223,/ebooks/26101,Comment on construit une maison,,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/26101/pg26101.txt
3966,a8223,/ebooks/30781,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 1 - (A),,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/30781/pg30781.txt
3967,a8223,/ebooks/30782,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 2 - (A suite - C),,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/30782/pg30782.txt
3968,a8223,/ebooks/30783,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 3 - (C suite),,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/30783/pg30783.txt
3969,a8223,/ebooks/30784,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 4 - (C suite),,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/30784/pg30784.txt
3970,a8223,/ebooks/30785,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 5 - (D - E- F),,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/30785/pg30785.txt
3971,a8223,/ebooks/30786,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 6 - (G - H - I - J - K - L - M - N - O),,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/30786/pg30786.txt
3972,a8223,/ebooks/30787,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 7 - (P),,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/30787/pg30787.txt
3973,a8223,/ebooks/30788,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 8 - (Q suite - R - S),,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/30788/pg30788.txt
3974,a8223,/ebooks/30789,Dictionnaire raisonné de l'architecture française du XIe au XVIe siècle - Tome 9 - (T - U - V - Y - Z),,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/30789/pg30789.txt
3975,a8223,/ebooks/18919,Du style gothique au dix-neuvième siècle,,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/18919/pg18919.txt
3976,a8223,/ebooks/18920,Projet de restauration de Notre-Dame de Paris,,,,,,,Viollet-le-Duc, Eugène-Emmanuel,1814,1879,19,http://www.gutenberg.org/cache/epub/18920/pg18920.txt
3977,a49530,/ebooks/57656,Dictionnaire d'argot fin-de-siècle,,,,,,,Virmaître, Charles,1835,1903,19,http://www.gutenberg.org/cache/epub/57656/pg57656.txt
